key	Name	Stars	Type	Atk	Sh	Effect		Str	Old Type	Wk	Rst
	Tyrannoborg	2		26	22	If it attacks a card that this card is weak to, add 5 ATK		7	DRG/PLT	AST/ICE	LGT/DRG/DRK/ETR
yternalor	Yternalor	2	Void	34	14	In order to destroy this card, the opposing denigen must have at least 10 points of total attack (including its strength) higher than this card's shield.	OnTarget	7	MYS	DRK/LGT	PSY/AST
omnicid	Omnicid	2	Star	30	22	None	none	7	FIR/ICE	FLY/WAT/PSN	DRG/GRS/ICE/PLT
kralla	Krall A	2	Water	27	25	None	none	7	WAT	ETR/GRS	FIR/RCK
krallb	Krall B	2	Water	25	23	This card may be normal summoned without discarding. At the start of your second turn, you must discard this card.	special	7	WAT	ETR/GRS	FIR/RCK
zeebee	Zeebee	2	Electric	28	20	May attack twice on first turn out.	OnAttack	7	ETR	PLT/RCK	FLY/WAT
momus	Momus	2	Star	17	31	When destroyed, replace with a card of equal or lesser value.	OnDeath	7	RNB	RNB	None
maegron	Maegron	2	Fire	36	21	None	none	7	FIR	FLY/WAT	GRS/ICE
highshenanigan	High Shenanigan	2	Psychic	22	35	None	none	7	PSY/LGT	DRG/AST	LGT/MYS/PSN/DRK
arborn	Arborn	2	Wood	21	27	When destroyed, transforms into a protective power magic, nullifying one destruction against the card to whom it is attached.	On Death	7	GRS	FIR/FLY	RCK/WAT
tungestin	Tungestin	2	Metal	19	29	When summoned, choose a type and add 1 ATK & SH for each card of that type in the discard pile.	OnSummon	7	MYS	DRK/LGT	AST/PSY
adiposeron	Adiposeron	5		36	66	When in play, this is the only card on your field which may be attacked.	OnTarget	15	DRG/ICE	FIR/PSN	PLT/DRK/DRG/LGT
babychicka	Baby Chicka	1	Seeker	10	20	When summoned face up this card cannot be attacked or destroyed on its first turn.	OnTarget	5	FLY	ETR/RCK	FIR/GRS
crestian	Crestian	2	Earth	24	24	Cannot be attacked by a higher level denigen.	OnTarget	5	ICE 	PSN/FIR	DRG/PLT
	Wushu	2		32	20	None		7	DRK 	LGT/DRG	MYS/PSN
blackchicka	Black Chicka	3	Void	40	26	If a denigen exploits one of Black Chicka's weaknesses, the attacking denigen is destroyed as well.	OnDeath	9	DRK/FLY	DRG/LGT/ETR/RCK	FIR/GRS/PSN/MYS
kradow	Kradow	4	Spirit	57	27	When this denigen destroys a denigen on an opponent's field, attain power points equal to 4 times the number of stars the victim possesses.	OnDestroy	12	DRK/PSN	LGT/PSN	MYS/AST/PSN/ICE
nhoj	Nhoj	3	Metal	33	33	When this card is played, reduce the shield of all denigens by 5.	OnSummon	9	PLT	AST/ICE	DRG/ETR
twiggs	Twiggs	3	Wood	26	40	For every denigen that Twiggs destroys you may draw one card.	OnDestroy	9	GRS	FLY/FIR	WAT/RCK
silvora	Silvora	4	Star	56	28	When Silvora is defeated, provide all of your denigens with a +10 shield boost.	OnDeath	12	AST/FLY	ETR/MYS/RCK/PSN	FIR/PLT/GRS/PSY
flama	Flama	2	Wood	23	25	If defeated by one of Flama's weaknesses, you may draw three cards.	OnDeath	7	GRS/LGT	FLY/DRG/FIR/PSY	MYS/WAT/DRK/RCK
holiday	Holiday	1	Star	30	0	While this card is on the field, take no direct damage. If defeated, take no carryover damage.	special	5	RNB	RNB	None
pitch	Pitch	4	Earth	0	84	May switch his attack and shield once per turn. This effect may be used as many times as desired.	summoning	12	RCK	GRS/WAT	ETR/FLY
rubi	Rubi	4	Psychic	38	46	Once per turn, in place of Rubi's attack, you may stop one denigen from attacking or being sacrified.	attacking	12	PSN/PSY	MYS/DRK	ICE/PSN/AST/LGT
phantasma	Phantasma	3	Spirit	27	39	If attacking a one star denigen, destroy instantly, having no carryover damage.	OnAttack	9	MYS	DRK/LGT	AST/PSY
demonocle	Demonocle	3	Psychic	29	37	Flip up one facedown card per turn, before your attack phase. May be used every turn.	summoning	9	PSY	MYS/AST	LGT/PSN
darklown	Darklown	4	Void	46	38	For every denigen this card defeats, special summon a one star denigen from the discard pile.	OnDestroy	12	PSN/PSY	DRK/MYS	PSN/ICE/LGT/AST
diminius	Diminius Dequay	4	Fire Void	42	42	For every denigen in the discard pile at the time this card as played, it will gain 1 point in each stat.	OnSummon	12	FIR/DRK	WAT/DRG/FLY/LGT	ICE/PSN/GRS/MYS
eternos	Eternos	5	Ascendant	56	50	None	none	15	PDX	All	None
phoenix	Phoenix	3	Fire Star	55	15	None	none	9	FIR 	WAT/FLY	ICE/GRS
tempest	Tempest	3	Electric Star	30	36	For every WAT or ETR type this card defeats, gain 5 shield.		9	WAT/ETR	PLT/GRS	FLY/WAT/FIR/RCK
infinicid	Infinicid	4	Void	66	22	None	none	12	RNB	RNB	None
slimm	Slimm	3	Earth Void	32	34	If Grimm is on your side of the field, you may choose to combine his attack with Slimm's.	OnTarget	9	RCK/ICE	WAT/FIR/GRS/PSN	ETR/PLT/FLY/DRG
grimm	Grimm	3	Earth Void	32	34	If Slimm is on your side of the field, you may choose to combine his attack with Grimm's.	OnTarget	9	RCK/ICE	WAT/FIR/GRS/PSN	ETR/PLT/FLY/DRG
ohmega	Ohmega	4	Electric Void	46	42	None	none	12	ETR	PLT/RCK	FLY/WAT 
geodon	Geodon	4	Earth	55	38	None	none	12	RCK	WAT/GRS	ETR/FLY
stark	Stark	2	Metal	43	5	When targeted by an attack, Stark can make a denigen on your side of the field the new target. This effect can only be used once per turn.	OnTarget	7	ICE	PSN/FIR	DRG/PLT
beezlebug	Beezlebug	2	Psychic	29	19	Any time Power Points are inflicted with this denigen, reshuffle the cards of the victim's hand into their deck, and have them redraw the same number of cards.	OnAttack	9	FLY/PSN	DRK/ETR/PSY/RCK	FIR/GRS/AST/ICE
lunara	Lunara	5	Ascendant	82	20	Cannot be defeated by a one star denigen.	OnTarget	15	MYS	DRK/LGT	AST/PSY
relic	Relic	4	Ascendant	51	33	Is not affected by turn-based Powermagics or effects		12	PDX	All	None
	Kesharami	3		43	27	None		9	DRG/WAT	ETR/GRS/ICE/PLT	FIR/DRK/LGT/RCK
morttimer	Morttimer	5	Ascendant	56	46	May destroy one card on the field at any appointed time, within the parameters of your turn. This means you can only destroy one card total. One.	special	15	RNB	RNB	None
harmonius	Harmonius	3	Ascendant	0	66	While on the field, Harmonius will lower the attack of every opposing denigen currently on the field by 5.		9	LGT	DRG/PSY	DRK/MYS
dogmalore	Dogmalore	4	Ascendant	37	50	None		12	FLY	ETR/RCK	FIR/GRS
tacitus	Tacitus	3	Ascendant	23	43	Not affected by enemy spells.		9	LGT	DRG/PSY	DRK/MYS
beasteria	Beasteria	4	Ascendant	58	26	For each card this card destroys, increase Beasteria's shield by 9.	OnDestroy	12	FIR/PLT	FLY/WAT/AST	DRG/GRS/ETR/ICE
jericho	Jericho	3	Ascendant	31	39	None		9	AST	MYS/PSN	PLT/PSY
dorian	Dorian the Conductor	4	Ascendant	33	51	At any time during your turn, this denigen may negate the effects of either one Power Magic or one denigen. May be used once. Can be used in response to flip-effects.	special	12	RNB	RNB	None
sumware	Sumware	4	Ascendant	4	80	Increase the shield of one denigen on your field, besides Sumware, by 5. This effect can be used once, and only once, not necessarily when played.		12	GRS	FIR/FLY	RCK/WAT
necrozia	Necrozia	5	Ascendant	71	31	May take one Power Magic from your discard pile, and use it as a replacement for your attack for a turn. May be used once per turn, and only once, unless otherwise allowed by a Power Magic.	OnAttack	15	AST	MYS/PSN	PLT/PSY
thunderbird	Thunderbird	4	Ascendant	37	47	While on your field, this is the only denigen which can be attacked or destroyed.	OnTarget	12	LGT/FLY	PLT/RCK	FIR/FLY/GRS/WAT
